pair,date,high,low,open,close,volume
USDT_BTC,1417132800,381.34,360.57,363.59,376.28,8617.1
USDT_BTC,1417219200,386.6,372.25,376.42,376.72,7245.1
USDT_BTC,1417305600,381.99,373.32,376.57,373.34,3046.3
USDT_BTC,1417392000,382.31,373.03,376.4,378.39,6660.5
USDT_BTC,1417478400,382.86,375.23,378.39,379.25,6832.5
USDT_BTC,1417564800,383.0,374.23,379.25,376.67,7908.2
USDT_BTC,1417651200,378.99,360.01,376.67,365.2,8865.0
USDT_BTC,1417737600,377.89,363.99,365.2,374.95,8951.1
USDT_BTC,1417824000,376.99,371.31,374.95,375.07,2300.2
USDT_BTC,1417910400,377.5,373.16,375.07,376.87,2429.6
USDT_BTC,1417996800,377.45,364.6,376.87,364.61,9920.8
USDT_BTC,1418083200,365.48,343.97,364.61,350.49,20940.8
USDT_BTC,1418169600,353.74,347.23,350.49,348.13,6579.7
USDT_BTC,1418256000,364.43,339.8,348.13,348.98,16533.3
USDT_BTC,1418342400,358.59,348.0,348.98,354.48,8039.9
USDT_BTC,1418428800,354.95,347.03,354.48,351.45,3880.7
USDT_BTC,1418515200,351.98,348.96,351.45,350.17,561.3
USDT_BTC,1418601600,350.17,350.17,350.17,350.17,0.0
USDT_BTC,1418688000,350.17,330.0,350.17,330.02,5677.8
USDT_BTC,1418774400,335.99,315.23,331.56,321.1,23478.0
USDT_BTC,1418860800,325.61,304.99,321.32,312.17,21637.5
USDT_BTC,1418947200,320.0,307.11,310.48,318.0,15958.5
USDT_BTC,1419033600,333.0,316.52,317.23,329.99,11146.4
USDT_BTC,1419120000,332.98,318.78,332.58,323.15,6510.0
USDT_BTC,1419206400,333.99,319.9,322.24,330.52,11646.6
USDT_BTC,1419292800,338.99,327.49,330.52,335.49,7804.0
USDT_BTC,1419379200,337.0,320.92,337.0,322.14,5544.8
USDT_BTC,1419465600,324.23,316.63,320.92,319.39,3924.9
USDT_BTC,1419552000,332.0,316.64,319.0,330.88,6347.2
USDT_BTC,1419638400,330.97,311.63,330.97,315.89,8639.5
USDT_BTC,1419724800,319.56,311.22,315.89,316.63,4089.6
USDT_BTC,1419811200,320.14,311.61,316.63,314.78,5901.0
USDT_BTC,1419897600,316.77,310.0,314.78,311.94,9894.2
USDT_BTC,1419984000,320.0,310.69,311.94,319.25,6097.7
USDT_BTC,1420070400,321.0,312.6,319.25,316.31,3223.0
USDT_BTC,1420156800,317.01,311.96,316.31,316.51,3472.0
USDT_BTC,1420243200,316.58,285.0,316.51,286.01,20350.4
USDT_BTC,1420329600,289.81,255.0,286.01,264.62,42650.5
USDT_BTC,1420416000,280.0,262.94,264.62,276.8,9752.0
USDT_BTC,1420502400,276.8,276.8,276.8,276.8,0.0
USDT_BTC,1420588800,276.8,276.8,276.8,276.8,0.0
USDT_BTC,1420675200,276.8,276.8,276.8,276.8,0.0
USDT_BTC,1420761600,276.8,276.8,276.8,276.8,0.0
USDT_BTC,1420848000,276.8,276.8,276.8,276.8,0.0
USDT_BTC,1420934400,276.8,276.8,276.8,276.8,0.0
USDT_BTC,1421020800,272.43,263.54,270.4,268.16,7909.2
USDT_BTC,1421107200,268.72,216.0,268.16,221.0,57653.9
USDT_BTC,1421193600,230.89,152.4,221.0,162.0,123599.7
USDT_BTC,1421280000,233.9,161.1,162.0,208.81,86158.1
USDT_BTC,1421366400,223.15,198.04,214.77,206.6,34657.0
USDT_BTC,1421452800,212.84,192.17,206.6,200.1,19933.7
